"Insert Widget...","وارد کردن ابزارک..."
"No records found.","نتیجه‌ای یافت نشد."
"Recent items","آیتم‌های جاری"
"Show all...","نمایش همه..."
"Method ","روش "
"Please wait...","لطفا صبر کنید..."
Loading...,در حال خواندن...
Cancel,لغو
Save,ذخیره
Translate,ترجمه
Submit,ارسال
Close,بستن
"Please enter a value less than or equal to %s.","لطفا مقداری کمتر یا برابر با %s وارد کنید."
"Please enter a value greater than or equal to %s.","لطفا مقداری بیشتر یا برابر با %s وارد کنید."
"Maximum length of this field must be equal or less than %1 symbols.","بیشترین مقدار این فیلد باید کمتر یا برابر %1 کاراکتر باشد."
"This is a required field.","این یک فیلد الزامی است."
"Please enter a valid year (1900-%1).","لطفا سال معتبر وارد کنید (1900-%1)."
"Please enter a valid day (1-%1).","لطفا یک روز معتبر وارد کنید (1-%1)."
"Please enter a date in the past.","لطفا یک تاریخ در گذشته را وارد کنید."
"Please enter a date between %min and %max.","لطفا یک تاریخ بین %min و %max وارد کنید."
